address,city,developer,district,index_date,lat,lng,name,osv,price,property,property_fee,province,tv,type,year
沙河口区华新苑10号楼4号公建,大连,大连新型房地产开发有限公司,沙河口,20190727,38.94033750532864,121.58990295130229,侯一小区,158,11382,大连新兴物业管理有限公司,0.3,辽宁,29,二手房,1989
大连经济技术开发区东城天下98-14,大连,大连乾豪集团有限公司,开发区,20190727,39.069195091289004,121.8502099927954,东城天下,366,8745,大连远洋基业物业管理有限公司,0.9,辽宁,43,二手房,2002
沙河口区兰田街33号,大连,无开发商,沙河口,20190727,38.926138912221084,121.56486022834609,辽师,41,12356,无物业管理服务,-,辽宁,9,二手房,1900
开发区湾里南12栋-16-17-18号,大连,大连金湾实业有限公司,开发区,20190727,39.070782084451,121.8506739675913,湾里南小区,360,8788,大连金湾物业管理有限公司,0.3,辽宁,32,二手房,2002
甘井子区千山路26号,大连,大连市大钢集团,甘井子,20190727,38.985697948031984,121.58768860037272,山东路,89,12625,街道办事处（居委会）代管物业,0.2,辽宁,17,二手房,1986
沙河口区富民路120号4-1-1,大连,大连渤海红旗集团有限公司,沙河口,20190727,38.930937859528605,121.5647274237578,马栏小学北,88,10819,街道办事处（居委会）代管物业,0.2,辽宁,24,二手房,1990
甘井子区泉水D1区37-7号,大连,大连运腾房地产开发有限公司,甘井子,20190727,39.013992871679214,121.61921940045104,锦泉源D2区,208,13300,大连嘉毅物业管理有限公司,0.5,辽宁,29,二手房,2001
甘井子区榆林街37号-12公建,大连,新型房地产开发有限公司,甘井子,20190727,38.980133141940186,121.52779506952932,泡崖美林园,228,11678,新兴物业,0.6,辽宁,65,二手房,2000
甘井子区汇仁街22号,大连,远洋地产有限公司,甘井子,20190727,38.99712640764999,121.58834420439493,远洋广场,184,17348,大连远洋基业物业管理有限公司,1.4,辽宁,16,二手房,2003
开发区湾里南12栋-16-17-18号,大连,大连金湾实业有限公司,开发区,20190727,39.070782084451,121.8506739675913,湾里东,222,8214,大连金湾物业管理有限公司,0.5,辽宁,25,二手房,2001
沙河口区五一路177-1-1-1,大连,无开发商,沙河口,20190727,38.913544290955585,121.59450670056631,台山,105,11886,街道办事处（居委会）代管物业,0.5,辽宁,23,二手房,1980
金州新区润海园中区18#2号,大连,华润置地（大连）有限公司,开发区,20190727,39.04047273176333,121.76392358042445,华润海中国二期,165,14246,华润物业（大连）有限公司,2.8,辽宁,10,二手房,2007
甘井子区山东路商业街D区12号公建,大连,无开发商,甘井子,20190727,39.001060021502965,121.58883960371418,兴华路,47,12440,街道办事处（居委会）代管物业,0.5,辽宁,8,二手房,1986
沙河口区富民路120号4-1-1,大连,大连渤海红旗集团有限公司,沙河口,20190727,38.930937859528605,121.5647274237578,马栏小学南,67,11327,大连辽南物业管理有限公司,0.2,辽宁,11,二手房,1992
